日期,時間,類別,金額,用途
2026-01-28,09:34,支出,11.0,11
2026-01-28,09:34,支出,11.0,11
2026-01-28,09:34,支出,11.0,11
2026-01-28,09:43,支出,11.0,11
2026-01-28,09:46,支出,11.0,ff
2026-01-28,09:47,支出,1.0,1
2026-01-28,13:05,支出,1.0,1
2026-01-28,13:05,支出,2.0,2
2026-01-28,13:07,支出,1.0,2
2026-01-28,13:12,支出,11.0,222
2026-01-28,13:16,支出,100.0,11
2026-01-28,13:16,支出,200.0,300
2026-01-26,13:16,支出,300.0,1
2026-01-28,14:52,支出,2222.0,2222
2026-01-28,14:52,支出,2222.0,222
2026-01-28,14:56,支出,555.0,55
2026-01-22,14:56,支出,22.0,22
2026-01-23,14:56,支出,44.0,44
