日期,時間,類別,金額,用途
2026-01-29,11:09,餐飲,1,2
2026-01-29,11:09,餐飲,2,32
2026-01-29,11:10,餐飲,2,2
2026-01-29,11:13,餐飲,21,4
2026-01-21,11:14,餐飲,1,2
2026-01-29,11:18,交通,5,
2026-01-29,11:21,交通,4,交通
2026-01-29,11:21,購物,5,購物
2026-01-29,11:23,交通,7,交通
2026-01-29,11:28,餐飲,4,餐飲
2026-01-29,11:29,交通,4,交通
2026-01-29,11:29,購物,4,購物
2026-01-29,11:38,交通,22,交通
2026-01-29,11:38,購物,2,購物
2026-01-29,11:40,交通,88,交通
2026-01-29,11:41,購物,7,購物
2026-01-29,11:41,交通,7,交通
2026-01-29,12:43,購物,55,購物
2026-01-29,12:43,娛樂,66,娛樂
2026-01-29,12:43,醫療,66,醫療11
2026-01-01,12:55,交通,100,交通
