日期,時間,類別,金額,用途
2026-01-29,11:09,餐飲,1,2
2026-01-29,11:09,餐飲,2,32
2026-01-29,11:10,餐飲,2,2
2026-01-29,11:13,餐飲,21,4
2026-01-21,11:14,餐飲,1,2
2026-01-29,11:18,交通,5,
2026-01-29,11:21,交通,4,交通
2026-01-29,11:21,購物,5,購物
2026-01-29,11:23,交通,7,交通
2026-01-29,11:28,餐飲,4,餐飲
2026-01-29,11:29,交通,4,交通
2026-01-29,11:29,購物,4,購物
2026-01-29,11:38,交通,22,交通
2026-01-29,11:38,購物,2,購物
2026-01-29,11:40,交通,88,交通
2026-01-29,11:41,購物,7,購物
2026-01-29,11:41,交通,7,交通
2026-01-29,12:43,購物,55,購物
2026-01-29,12:43,娛樂,66,娛樂
2026-01-29,12:43,醫療,66,醫療11
2026-01-01,12:55,交通,100,交通
2026-01-29,14:03,交通,44,交通
2026-01-29,14:11,餐飲,11,11
2026-01-29,15:06,交通,55,交通
2026-01-29,15:06,餐飲,55,餐飲
2026-01-29,15:10,交通,55,交通
2026-01-29,15:10,購物,55,購物
2026-01-29,15:14,交通,55,交通
2026-01-29,15:15,購物,55,購物
2026-01-29,15:19,交通,55,交通
2026-01-29,15:19,購物,44,購物
2026-01-29,15:20,娛樂,44,娛樂
2026-01-29,15:20,購物,55,購物
2026-01-29,15:20,娛樂,55,娛樂
2026-01-29,15:26,餐飲,44,餐飲
2026-01-29,15:26,餐飲,44,
2026-01-30,08:31,交通,55,交通
2026-01-30,11:01,餐飲,55,餐飲
2026-01-30,11:01,交通,55,交通
2026-01-30,11:40,交通,77,交通
2026-01-30,14:01,交通,11,交通
2026-01-30,14:01,購物,44,購物
2026-01-30,14:23,交通,55,交通
2026-01-30,14:23,交通,55,交通
2026-01-30,14:47,餐飲,11,餐飲
2026-01-30,14:47,交通,11,交通
2026-01-30,14:47,交通,222,交通
2026-01-30,14:51,餐飲,5555,餐飲
2026-01-30,14:51,交通,444,交通
2026-01-30,15:04,交通,55,交通
2026-01-30,15:06,交通,500,交通
2026-01-30,15:12,餐飲,500,餐飲
2026-01-30,15:12,餐飲,-500,
2026-01-30,15:12,餐飲,-800,儲存OK
2026-01-30,15:20,餐飲,555,餐飲
2026-01-30,15:24,交通,-55,交通
